x,y,z
173,121,125
170,127,126
175,122,124
171,120,125
171,120,127
171,121,124
178,128,120
181,127,122
177,122,124
175,125,127
174,124,129
174,126,124
174,124,127
173,125,128
176,121,127
179,126,125
179,123,123
179,126,121
175,122,122
175,114,121
176,115,120
172,118,124
170,116,127
182,121,127
183,124,123
176,111,124
173,106,127
175,116,124
183,122,120
186,126,126
180,117,126
180,120,120
180,118,118
181,113,120
180,118,124
177,118,125
172,111,123
177,116,118
178,116,126
179,106,126
186,102,121
180,113,125
187,125,124
186,124,128
177,118,131
180,114,124
178,114,123
179,118,129
179,117,134
182,121,136
177,120,136
175,110,128
176,116,130
176,110,129
175,112,131
179,115,136
177,115,131
184,113,123
183,115,120
177,111,129
179,113,130
181,113,128
179,112,125
180,113,126
179,114,129
173,113,130
181,113,129
179,116,125
180,117,122
178,115,123
177,114,125
178,116,125
180,118,125
179,115,127
182,117,121
180,119,117
176,118,119
173,115,126
178,121,126
181,117,123
180,112,124
177,116,122
176,114,123
185,117,125
184,115,128
177,117,128
176,115,127
179,116,124
177,113,124
176,114,128
178,118,128
182,123,125
183,122,121
182,120,120
182,123,123
181,124,124
178,126,123
177,126,123
179,121,122
181,126,120
183,128,122
177,121,123
173,109,126
176,118,120
176,115,117
168,107,119
166,108,122
170,118,119
180,125,114
187,135,114
173,125,114
172,128,120
181,129,121
183,129,116
182,129,118
177,129,121
175,129,125
175,131,123
176,129,123
175,128,116
173,126,111
174,129,111
171,137,116
172,140,114
171,131,115
173,131,111
171,129,109
171,126,112
162,124,126
167,131,122
179,139,118
176,143,125
170,129,125
172,124,119
170,130,121
170,135,124
172,138,118
168,130,117
165,137,116
168,141,123
167,135,119
164,131,112
164,133,113
167,140,116
167,145,114
162,140,118
162,133,118
163,138,115
167,140,112
166,136,111
159,130,115
157,128,116
160,133,122
165,142,124
161,141,123
152,132,121
149,128,117
154,134,111
152,144,105
149,146,101
143,144,97
135,123,105
130,128,115
133,132,119
132,137,129
130,146,144
132,140,149
130,138,146
132,144,154
128,146,164
124,142,168
129,138,161
135,129,158
130,127,168
119,120,178
120,137,178
118,144,176
119,157,175
116,165,171
113,162,166
110,161,165
113,160,159
107,150,154
99,151,150
102,163,151
102,168,151
98,161,146
90,158,143
92,162,144
85,163,145
79,167,140
87,180,139
84,175,146
74,169,152
70,168,154
77,176,149
78,179,151
76,183,156
71,185,151
77,186,145
78,190,144
76,185,147
76,186,150
78,190,152
78,188,153
73,189,154
69,185,153
66,185,150
66,189,153
64,187,148
58,179,143
53,174,144
53,178,146
53,188,146
57,189,143
54,190,145
50,186,147
45,183,151
45,187,154
46,191,152
44,187,150
40,186,146
44,190,142
45,192,140
43,193,137
41,194,137
33,193,138
29,191,138
29,191,140
28,194,138
23,196,136
23,193,135
21,195,132
20,204,133
22,209,134
22,206,135
15,200,133
16,203,132
17,204,131
17,205,128
17,204,128
16,204,128
17,210,129
13,212,129
5,205,129
5,209,134
8,213,135
4,212,134
1,210,132
-2,203,133
0,199,130
2,203,129
3,213,130
1,215,130
0,208,130
-5,202,129
-10,201,128
-9,205,128
-6,212,127
-9,211,123
-14,203,118
-16,201,120
-17,206,121
-17,208,122
-20,209,123
-22,207,122
-22,210,124
-23,216,125
-27,212,123
-20,202,122
-31,210,123
-26,222,129
-34,218,132
-35,207,127
-42,198,124
-35,210,121
-35,211,118
-41,205,115
-43,204,113
-46,204,116
-48,204,116
-48,207,115
-49,210,118
-53,207,121
-54,207,120
-56,204,115
-50,213,114
-48,224,119
-48,222,127
-53,220,129
-55,208,132
-60,210,126
-58,210,118
-56,210,116
-39,199,117
-62,202,114
-64,205,112
-67,206,110
-69,208,113
-71,207,119
-74,200,116
