x,y,z
-232,-81,-86
-216,-96,-82
-212,-67,-118
-190,-99,-110
-193,-108,-116
-179,-106,-128
-184,-90,-139
-192,-70,-140
-192,-50,-129
-203,-64,-121
-206,-63,-119
-205,-75,-119
-192,-72,-131
-192,-78,-128
-189,-81,-130
-191,-69,-129
-193,-68,-128
-190,-69,-128
-198,-80,-128
-191,-64,-127
-195,-77,-120
-193,-79,-119
-194,-77,-120
-195,-69,-119
-200,-89,-114
-198,-71,-122
-201,-90,-117
-193,-88,-121
-193,-58,-127
-195,-85,-126
-200,-91,-120
-193,-77,-120
-192,-92,-113
-195,-104,-110
-194,-78,-118
-198,-91,-114
-198,-75,-122
-201,-77,-123
-195,-87,-121
-195,-85,-117
-183,-76,-111
-196,-67,-106
-217,-65,-111
-202,-40,-115
-200,-94,-118
-193,-89,-123
-193,-88,-126
-189,-90,-124
-193,-103,-121
-193,-87,-120
-205,-92,-117
-199,-48,-119
-193,-74,-114
-197,-112,-102
-195,-84,-109
-189,-93,-107
-197,-77,-114
-204,-115,-100
-197,-86,-118
-198,-86,-124
-191,-92,-117
-192,-73,-125
-196,-74,-121
-194,-77,-119
-196,-81,-122
-191,-94,-121
-188,-92,-131
-169,-70,-154
-182,-64,-154
-175,-64,-143
-197,-117,-128
-185,-71,-139
-191,-78,-136
-183,-68,-140
-184,-88,-137
-179,-75,-145
-182,-83,-143
-184,-87,-139
-188,-79,-129
-194,-76,-125
-187,-62,-130
-192,-87,-123
-191,-76,-129
-189,-75,-133
-187,-91,-130
-189,-85,-127
-191,-79,-129
-189,-76,-126
-191,-89,-121
-190,-74,-129
-191,-80,-129
-190,-80,-130
-188,-76,-131
-189,-74,-129
-188,-76,-128
-189,-77,-131
-186,-76,-129
-184,-83,-128
-180,-62,-137
-198,-104,-129
-189,-89,-142
-186,-73,-136
-188,-72,-130
-192,-60,-132
-201,-64,-127
-195,-50,-132
-188,-55,-129
-179,-66,-128
-187,-53,-134
-202,-62,-133
-192,-46,-132
-196,-91,-130
-187,-88,-128
-164,-137,-130
-176,-170,-128
-226,-136,-148
-230,-137,-135
-203,-117,-130
-203,-77,-141
-193,-37,-143
-180,-54,-126
-200,-42,-143
-223,-46,-152
-247,18,-170
-146,-14,-120
-187,-37,-125
-224,-32,-162
-206,-82,-134
-187,-102,-124
-172,-49,-152
-194,-94,-165
-159,-106,-182
-168,-116,-189
-212,-152,-194
-221,-75,-218
-175,-74,-159
-194,42,-164
-245,7,-125
-254,7,-123
-235,5,-120
-207,15,-134
-198,1,-146
-211,-1,-167
-203,3,-164
-231,47,-206
-226,24,-191
-146,-13,-129
-167,-35,-184
-211,-92,-156
-195,-93,-133
-189,-116,-111
-206,-112,-129
-173,-84,-145
-200,-130,-151
-207,-136,-174
-211,-152,-162
-211,-129,-151
-177,-75,-138
-222,-71,-125
-252,-74,-121
-239,-60,-118
-236,-51,-140
-218,-30,-140
-219,-51,-139
-198,-34,-132
-231,-41,-150
-240,-44,-167
-214,8,-152
-162,8,-125
-149,9,-163
-162,-23,-167
-195,-149,-167
-146,-43,-156
-215,-127,-193
-201,-148,-203
-172,-118,-237
-200,-141,-244
-214,-136,-271
-130,-117,-203
-143,-77,-177
-185,-62,-167
-194,-68,-122
-204,-42,-122
-220,-26,-140
-226,-38,-149
-232,-35,-172
-237,-18,-188
-221,-14,-164
-234,-33,-199
-152,-22,-142
-184,-29,-171
-193,-38,-148
-162,-32,-137
-160,-89,-121
-173,-133,-125
-172,-122,-149
-182,-185,-145
-192,-157,-175
-189,-207,-168
-213,-205,-176
-165,-123,-152
-216,-111,-124
-243,-87,-123
-216,-49,-93
-198,-12,-83
-194,-26,-102
-226,-85,-131
-208,-85,-196
-191,-59,-198
-201,-70,-210
-189,-85,-156
-167,-13,-146
-184,-26,-170
-166,-5,-136
-143,-33,-126
-132,-62,-137
-165,-125,-153
-148,-121,-202
-172,-185,-226
-182,-155,-250
-194,-165,-296
-120,-177,-204
-140,-157,-181
-135,-73,-184
-152,-35,-147
-172,-12,-126
-179,-52,-119
-243,-87,-185
-222,-72,-183
-228,1,-232
-197,66,-196
-230,36,-208
-164,1,-182
-164,-28,-191
-177,-73,-171
-129,-65,-133
-139,-50,-127
-147,-71,-137
-161,-92,-167
-159,-80,-191
-157,-114,-225
-227,-182,-261
-158,-197,-229
-125,-116,-177
-184,-98,-177
-144,-85,-145
-164,-102,-119
-186,-118,-120
-230,-103,-159
-194,-20,-189
-230,-25,-212
-161,24,-206
-236,-51,-246
-171,-43,-195
-166,-31,-179
-174,-10,-168
-154,-36,-141
-123,-66,-130
-188,-128,-112
-148,-84,-153
-168,-155,-131
-227,-219,-153
-193,-258,-128
-232,-219,-147
-216,-208,-124
-202,-146,-111
-205,-142,-95
-183,-105,-67
-190,-62,-72
-227,-70,-97
-200,-42,-153
-235,-101,-158
-233,-40,-182
-229,-54,-196
-234,-56,-209
-131,-23,-140
-176,-50,-168
-194,-22,-161
-162,-34,-114
-156,-79,-102
-160,-91,-116
-186,-178,-80
-201,-170,-128
-166,-304,-103
-225,-183,-152
-261,-184,-140
-243,-165,-85
-255,-110,-107
-199,-84,-84
-173,-44,-74
-193,-27,-95
-202,-44,-110
-227,-79,-133
-244,-77,-160
-217,-45,-168
-217,-58,-216
-161,-48,-152
-161,-33,-168
-180,-55,-158
-163,-46,-138
-127,-2,-124
-185,-94,-113
-177,-69,-130
-204,-137,-156
-192,-170,-219
-212,-216,-212
-216,-234,-223
-152,-153,-173
-165,-82,-173
-151,-131,-143
-148,-115,-160
-162,-53,-140
-204,-65,-138
-207,-28,-151
-235,-60,-192
-234,-33,-215
-271,-25,-255
-137,-20,-170
-144,-7,-174
-181,73,-196
